"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"50-01092017-095343";"";
"REFERENCE";"AM14HA04A0-01N";"";
"TraceParts.PartTitle";"NEMA14 (35mm) Two-phase DC Stepper Motor 0.9 Degree - 14HA Series";"";
"TraceParts.InstanceId";"50-01092017-095343ABHPQ7J49UDOYPYLYEOMIJAVL";"";
"SUPPLIER";"MOONS'";"";
"DESIGN";"NEMA14 (35mm) Two-phase DC Stepper Motor 0.9 Degree - 14HA Series AM14HA04A0-01N";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.6";"";
