"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-31122024-016087";"";
"REFERENCE";"SM5-167L-1";"";
"TraceParts.PartTitle";"SM5-167L-1";"";
"TraceParts.InstanceId";"90-31122024-0160872N3XX9WWY2MK673V115V3T3RA";"";
"SUPPLIER";"XKB";"";
"DESIGN";"W19.8xD6.4xH10.6 Medium Micro Switch 5A 125V Straight Shank, 16.7MM L, Wire Bonding Extension";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.1";"";
