"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-05052011-080727";"";
"REFERENCE";"VX-01-1C22";"";
"TraceParts.PartTitle";"Miniature Basic Switch (Non-Sealed) – VX";"";
"TraceParts.InstanceId";"10-05052011-0807279H7CB4YI1P2QLWDC5TFNS2RR6";"";
"SUPPLIER";"OMRON";"";
"DESIGN";"Miniature Basic Switch 100mA, Quick-connect terminals, Pin plunger Actuator, 0.25N";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.1.6";"";
