"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21072008-084094";"";
"REFERENCE";"DIN EN 24014 - d M3 x l 20";"";
"STANDARD";"DIN EN 24014";"";
"TraceParts.PartTitle";"Hexagon head bolts";"";
"TraceParts.InstanceId";"10-21072008-084094EVU5KTKAQN2JMI550LET69UAD";"";
"TraceParts.PartStandardAcronym";"DIN";"";
"DESIGN";"Hexagon head bolt DIN EN 24014 - M3 x 20";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.3.7";"";
